Probation Area,Area,Value,Period,Measure Type,Sex
NPS Midlands,E92000001,16721,day/2018-03-31,Count of offenders supervised,M
"Bristol, Gloucestershire, Somerset and Wiltshire CRC",E92000001,5576,day/2018-03-31,Count of offenders supervised,M
Cheshire and Greater Manchester CRC,E92000001,10483,day/2018-03-31,Count of offenders supervised,M
Durham Tees Valley CRC,E92000001,642,day/2018-03-31,Count of offenders supervised,F
"Derbyshire, Leicestershire, Nottinghamshire and Rutland CRC",E92000001,1163,day/2018-03-31,Count of offenders supervised,F
Northumbria CRC,E92000001,570,day/2018-03-31,Count of offenders supervised,F
Northumbria CRC,E92000001,3059,day/2018-03-31,Count of offenders supervised,M
West Mercia and Warwickshire CRC,E92000001,505,day/2018-03-31,Count of offenders supervised,F
Merseyside CRC,E92000001,5344,day/2018-03-31,Count of offenders supervised,M
NPS Midlands,E92000001,776,day/2018-03-31,Count of offenders supervised,F
West Mercia and Warwickshire CRC,E92000001,2783,day/2018-03-31,Count of offenders supervised,M
Cheshire and Greater Manchester CRC,E92000001,1496,day/2018-03-31,Count of offenders supervised,F
NPS North West,E92000001,16405,day/2018-03-31,Count of offenders supervised,M
West Yorkshire CRC,E92000001,991,day/2018-03-31,Count of offenders supervised,F
Thames Valley CRC,E92000001,4123,day/2018-03-31,Count of offenders supervised,M
Norfolk and Suffolk CRC,E92000001,444,day/2018-03-31,Count of offenders supervised,F
NPS North East,E92000001,899,day/2018-03-31,Count of offenders supervised,F
"Dorset, Devon and Cornwall CRC",E92000001,3604,day/2018-03-31,Count of offenders supervised,M
Hampshire CRC,E92000001,566,day/2018-03-31,Count of offenders supervised,F
"Bristol, Gloucestershire, Somerset and Wiltshire CRC",E92000001,960,day/2018-03-31,Count of offenders supervised,F
Hampshire CRC,E92000001,3277,day/2018-03-31,Count of offenders supervised,M
Essex CRC,E92000001,573,day/2018-03-31,Count of offenders supervised,F
South Yorkshire CRC,E92000001,565,day/2018-03-31,Count of offenders supervised,F
"North Yorkshire, Humberside and Lincolnshire CRC",E92000001,4576,day/2018-03-31,Count of offenders supervised,M
Merseyside CRC,E92000001,921,day/2018-03-31,Count of offenders supervised,F
London CRC,E92000001,26193,day/2018-03-31,Count of offenders supervised,M
NPS London,E92000001,712,day/2018-03-31,Count of offenders supervised,F
Norfolk and Suffolk CRC,E92000001,2585,day/2018-03-31,Count of offenders supervised,M
